日付け,終値,始値,高値,安値,出来高,変化率 %,,
2019/1/23,13005 ,13143 ,13326 ,12830 ,2.96K,-1.05%,,1441
2019/1/24,13008 ,13005 ,13131 ,12791 ,4.44K,0.02%,,1440
2019/1/25,12844 ,13008 ,13108 ,12764 ,2.69K,-1.26%,,1439
2019/1/26,12852 ,12844 ,13148 ,12823 ,3.25K,0.06%,,1438
2019/1/27,12429 ,12845 ,12943 ,12347 ,6.35K,-3.29%,,1437
2019/1/28,11731 ,12429 ,12505 ,11297 ,5.47K,-5.62%,,1436
2019/1/29,11633 ,11731 ,11819 ,11389 ,2.34K,-0.84%,,1435
2019/1/30,12060 ,11633 ,12279 ,11543 ,7.43K,3.67%,,1434
2019/1/31,11795 ,12060 ,12341 ,11670 ,2.78K,-2.20%,,1433
2019/2/1,11938 ,11795 ,12097 ,11483 ,3.43K,1.21%,,1432
2019/2/2,12333 ,11928 ,12423 ,11828 ,4.99K,3.31%,,1431
2019/2/3,11900 ,12360 ,12451 ,11740 ,5.68K,-3.51%,,1430
2019/2/4,11928 ,11900 ,12051 ,11829 ,1.59K,0.24%,,1429
2019/2/5,11952 ,11928 ,11999 ,11845 ,1.02K,0.20%,,1428
2019/2/6,11662 ,11952 ,11972 ,11279 ,7.65K,-2.43%,,1427
2019/2/7,11606 ,11662 ,11820 ,11506 ,3.12K,-0.48%,,1426
2019/2/8,13335 ,11611 ,13680 ,11534 ,10.30K,14.90%,,1425
2019/2/9,13343 ,13335 ,13522 ,13120 ,1.48K,0.06%,,1424
2019/2/10,13949 ,13343 ,14075 ,12953 ,4.50K,4.54%,,1423
2019/2/11,13535 ,13949 ,13961 ,13377 ,2.59K,-2.97%,,1422
2019/2/12,13755 ,13535 ,13899 ,13246 ,3.69K,1.63%,,1421
2019/2/13,13691 ,13755 ,14261 ,13605 ,3.17K,-0.47%,,1420
2019/2/14,13548 ,13691 ,14019 ,13548 ,1.85K,-1.04%,,1419
2019/2/15,13676 ,13549 ,13834 ,13512 ,3.22K,0.94%,,1418
2019/2/16,13828 ,13676 ,14000 ,13676 ,2.18K,1.11%,,1417
2019/2/17,15061 ,13777 ,15273 ,13756 ,17.05K,8.91%,,1416
2019/2/18,16450 ,15050 ,16696 ,14926 ,10.73K,9.22%,,1415
2019/2/19,16219 ,16450 ,16924 ,16138 ,6.91K,-1.40%,,1414
2019/2/20,16876 ,16213 ,16876 ,15947 ,6.28K,4.05%,,1413
2019/2/21,16409 ,16808 ,17006 ,16106 ,6.26K,-2.77%,,1412
2019/2/22,16794 ,16441 ,16813 ,16207 ,7.88K,2.35%,,1411
2019/2/23,17893 ,16794 ,18062 ,16489 ,10.72K,6.54%,,1410
2019/2/24,14997 ,17861 ,18709 ,14985 ,18.73K,-16.19%,,1409
2019/2/25,15770 ,14978 ,16057 ,14978 ,3.37K,5.15%,,1408
2019/2/26,15383 ,15770 ,15770 ,15254 ,1.31K,-2.45%,,1407
2019/2/27,15288 ,15383 ,15899 ,14411 ,8.20K,-0.62%,,1406
2019/2/28,15379 ,15288 ,15895 ,15213 ,7.46K,0.60%,,1405
2019/3/1,15488 ,15379 ,15822 ,15379 ,1.99K,0.71%,,1404
2019/3/2,15166 ,15488 ,15590 ,14885 ,4.10K,-2.08%,,1403
2019/3/3,14929 ,15166 ,15439 ,14679 ,1.83K,-1.56%,,1402
2019/3/4,14346 ,14929 ,14990 ,14092 ,3.39K,-3.91%,,1401
2019/3/5,15567 ,14346 ,15694 ,14305 ,4.33K,8.51%,,1400
2019/3/6,15697 ,15567 ,16085 ,15324 ,3.80K,0.84%,,1399
2019/3/7,15602 ,15697 ,15953 ,15487 ,2.74K,-0.61%,,1398
2019/3/8,15110 ,15602 ,15848 ,14891 ,6.92K,-3.15%,,1397
2019/3/9,15551 ,15110 ,15746 ,15058 ,2.15K,2.92%,,1396
2019/3/10,15430 ,15551 ,15576 ,15213 ,0.79K,-0.78%,,1395
2019/3/11,15056 ,15430 ,15430 ,14910 ,2.32K,-2.42%,,1394
2019/3/12,15153 ,15056 ,15332 ,14620 ,3.58K,0.64%,,1393
2019/3/13,14952 ,15153 ,15158 ,14880 ,1.82K,-1.33%,,1392
2019/3/14,15032 ,14952 ,15280 ,14733 ,2.16K,0.54%,,1391
2019/3/15,15489 ,15032 ,15680 ,15032 ,2.25K,3.04%,,1390
2019/3/16,16022 ,15489 ,16404 ,15489 ,2.78K,3.44%,,1389
2019/3/17,15899 ,16022 ,16022 ,15642 ,1.27K,-0.77%,,1388
2019/3/18,15666 ,15899 ,16141 ,15508 ,2.24K,-1.47%,,1387
2019/3/19,15751 ,15666 ,15842 ,15570 ,1.11K,0.54%,,1386
2019/3/20,15744 ,15751 ,15817 ,15566 ,1.89K,-0.04%,,1385
2019/3/21,15178 ,15744 ,15804 ,15007 ,2.66K,-3.60%,,1384
2019/3/22,15192 ,15177 ,15363 ,15096 ,1.09K,0.09%,,1383
2019/3/23,15291 ,15192 ,15434 ,15166 ,1.43K,0.65%,,1382
2019/3/24,15205 ,15291 ,15314 ,15058 ,1.05K,-0.56%,,1381
2019/3/25,14872 ,15205 ,15240 ,14709 ,1.73K,-2.19%,,1380
2019/3/26,14966 ,14860 ,15026 ,14812 ,0.55K,0.63%,,1379
