１位,p
１周年記念,p
１勝,p
１番,p
２次感染,n
２失点,n
３連敗,n
ＡＩＤＳ,n
ＡＴフィールド,p
Ａ型肝炎,n
ＢＩＧ,p
ＢＯＴ,n
ＢＳＥ,n
Ｃ型肝炎,n
ＤＶ,n
ＥＤ,n
ＨＩＶ,n
ＨＩＶ感染,n
ＫＯ,p
ＮＧ,n
ＰＭＳ,n
ＰＴＳＤ,n
ＳＡＲＳ,n
ＴＫＯ,n
あいまい,n
あからさま,n
あきらめ,n
あく抜け,p
あこがれ,p
あざやか,p
あせも,n
あたたかさ,p
あだ,n
あだおろそか,n
あだおろそか・あだやおろそか,n
あだやおろそか,n
あっぱれ,p
あでやか,p
あどけなさ,p
あなたらしさ,p
ありがたさ,p
ありがたみ,p
ありがた迷惑,n
いい気持ち,p
いい気持ち／気分,p
いい気分,p
いかがわしさ,n
いかさま,n
いさかい,n
いざこざ,n
いじめ,n
いじらしさ,p
いたずら,n
いたずら電話,n
いたみ,n
いたわり,p
いとしさ,p
いのち,p
いばらの道,n
いびき,n
いびり,n
いぼ,n
いやらしさ,n
いらいら,n
いらだち,n
うかうか,n
うかつ,n
うさ,n
うさんくささ,n
うずき,n
うそ,n
うそっぱち,n
うそ偽り,n
うそ八百,n
うたぐり,n
うだうだ,n
うっかり,n
うってつけ,p
うっぷん,n
うっ血,n
うつ,n
うつ状態,n
うつ病,n
うまさ,p
うまみ,p
うま味,p
うらみ,n
うらやみ,n
うるささ,n
うれしさ,p
えぐみ,n
えん罪,n
おいしさ,p
おいてきぼり,n
おいてけぼり,n
おかげ,p
おかぼれ,p
おこづかい,p
おざなり,n
おしさ,n
おしゃれ,p
おじけ,n
おせっかい,n
おそれ,n
おぞましさ,n
おたふく,n
おたふく風邪,n
おだぶつ,n
おだやか,p
おちおち,n
おっくう,n
おでき,n
おなら,n
おねしょ,n
おまけ,p
おめでた,p
おもしろさ,p
おもらし,n
おろそか,n
おカネ,p
おニュー,p
お陰,p
お陰さま,p
お陰様,p
お隠れ,n
お化け,n
お家騒動,n
お楽しみ,p
お客様,p
お給料,p
お金,p
お祭り気分,p
お仕置き,n
お邪魔,n
お手ごろ価格,p
お手頃価格,p
お手上げ,n
お小遣い,p
お笑い,p
お上手,p
お色気,p
お人柄,p
お説教,n
お知恵,p
お得,p
お得感,p
お年玉,p
お疲れ,n
お布施,p
お返し,p
お便り,p
お墨付き,p
お門違い,n
お役所仕事,n
お咎め,n
お洒落,p
かぎ裂き,n
かげり,n
かさ上げ,n
かすり傷,n
かぜ,n
かっこよさ,p
かっぱらい,n
かなしみ,n
かぶれ,n
かゆさ,n
かゆみ,n
かわいさ,p
かわいそう,n
かわいらしさ,p
がた,n
がた落ち,n
がん,n
がん細胞,n
きずな,p
きつさ,n
きめ細かさ,p
きゃしゃ,n
きらびやか,p
きりん児,p
きれい,p
きれい事,n
ぎこちなさ,n
ぎっくり腰,n
ぎりぎり,n
くじ運,p
くそ力,p
くたくた,n
くたびれ,n
くたびれもうけ,n
くだらなさ,n
くつろぎ,p
くどさ,n
くも膜下出血,n
くやしさ,n
くる病,n
ぐうたら,?p?n
ぐちゃぐちゃ,n
けが,n
けがれ,n
けが人,n
けだるさ,n
けち,n
けったい,n
けなげ,p
けんか,n
けんか腰,n
げんなり,n
こく,p
こそ泥,n
こだわり,?p?n
こちこち,n
こび,n
こまめ,p
こらえ性,p
こわさ,n
こんとん,n
ごたごた,n
ごたまぜ,n
ごちゃまぜ,n
ごまかし,n
ごまのはえ,n
ごみ,n
ご縁,p
ご活躍,p
ご機嫌,p
ご興味,p
ご苦労,n
ご好評,p
ご心配,n
ご都合主義,n
ご病気,n
ご不便,n
ご褒美,p
ご満足,p
ご迷惑,n
ご利益,n
さっぱり,p
さばさば,p
さび,n
さびしさ,n
さみしさ,n
さわやか,p
さわやかさ,p
ざらつき,n
ざわめき,n
しあわせ,p
しがらみ,n
しくじり,n
しこめ,n
しこり,n
したい放題,n
したたか,n
しっかり,p
しっぺ返し,n
しつこさ,n
しとやか,p
しなやか,p
しなやかさ,p
しびれ,n
しみ,n
しゃっくり,n
しゃれ男,p
しょっぱさ,n
しらふ,n
しり切れ,n
しわ,n
しわ寄せ,n
しんどさ,n
し損ない,n
じり高,n
じり貧,n
すかっと,p
すかんぴん,n
すきだらけ,n
すきっと,p
すっきり,p
すったもんだ,n
すってんてん,n
すっと,p
すっぽかし,n
すてき,p
すばやさ,p
すばらしさ,p
すり,n
ずぶ濡れ,n
ずぼら,n
ずる,n
せかせか,n
せき,n
せき払い,n
せせら笑い,n
せつなさ,n
ぜんそく,n
ぜん息,n
そしり,n
そねみ,n
その場しのぎ,n
その場逃れ,n
それきり,n
それきり・それっきり,n
それっきり,n
それなり,p
たおやか,p
たくましさ,p
たしなみ,p
たたずまい,p
ただれ,n
ただれ目,n
たっぷり,p
ため,p
ためらい傷,n
ため息,n
たらい回し,n
たるみ,n
だみ声,n
だらしなさ,n
だらだら,n
だらっと,n
だらりと,n
だらんと,n
だるさ,n
だれ気味,n
ちゃめっ気,p
ちゃらんぽらん,n
ちょい役,n
ちょっかい,n
ちょんぼ,n
つじ強盗,n
つっけんどん,n
つつましやか,p
つながり,p
つまずき,n
つまらなさ,n
つや,p
つらさ,n
つわもの,p
つわり,n
ていねい,p
てんかん,n
てんこ盛り,p
てんやわんや,n
できもの,n
でこぼこ,n
でたらめ,n
でっち上げ,n
とがめ,n
とがり声,n
ときめき,p
とどめ,n
とばっちり,n
とまどい,n
どぎまぎ,n
どさくさ,n
どたキャン,n
どら声,n
どんでん返し,n
どん底,n
ど根性,p
なだらか,p
なつかしさ,p
なぶり殺し,n
なまくら,n
なめらか,p
なめらかさ,p
ならず者,n
にきび,n
にぎやか,p
にぎわい,p
にこにこ顔,p
ぬかるみ,n
ぬか喜び,n
ぬくもり,p
ぬめり,n
ねぎらい,p
ねたましさ,n
ねたみ,n
のぞみ,p
ののしり,n
のみの心臓,n
のらくら,n
のんべんだらり,n
はしか,n
はずみ,n
はたらき,p
はた迷惑,n
はちゃめちゃ,n
はつらつ,p
はまり役,p
はやり風邪,n
はやり目,n
はらはら,n
はれ物,n
ばい菌,n
ばか,n
ばかばかしさ,n
ばか力,p
ばつ,n
ばらつき,n
ひがみ,n
ひき逃げ,n
ひさしぶり,p
ひったくり,n
ひとりよがり,n
ひとり相撲,n
ひとり立ち,p
ひと事,n
ひどさ,n
ひび割れ,n
ひもじさ,n
ひょう疽,n
ひょっとこ,n
ひ弱,n
びくびく,n
びんた,n
ぴか一,p
ふがいなさ,n
ふくよか,p
ふさぎの虫,n
ふしだら,n
ふん,n
ぶおとこ,n
ぶおんな,n
ぶきっちょ,n
ぶす,n
ぶっきらぼう,n
ぶらぶら,?p?n
へったくれ,n
へっぽこ,n
へなちょこ,n
へぼ,n
へま,n
へんちくりん,n
へんてこ,n
へんとう炎,n
べたぼれ,p
べた褒め,p
べっぴん,p
ぺしゃんこ,n
ほくほく顔,p
ほこり,n
ほころび,n
ほとぼり,n
ほの字,p
ほほ笑み,p
ほろ酔い気分,p
ぼけ,n
ぽか,n
まごころ,p
まじめ,p
まじり,n
まずさ,n
まちがい,n
まっさら,p
まとも,p
まどらか,p
まどろみ,p
まめ,p
まやかし,n
まゆつば物,n
まろやか,p
まん延,n
みずみずしさ,p
みみずばれ,n
むくみ,n
むし歯,n
むずかしさ,n
むだ,n
むちゃくちゃ,n
むち打ち,n
むなしさ,n
むやみ,n
むやみやたら,n
めちゃ,n
めちゃくちゃ,n
めちゃめちゃ,n
めったやたら,n
めでたさ,p
めまい,n
めんどう,n
もうけ口,p
もうけ仕事,p
もうろく,n
もだえ,n
もどかしさ,n
ものぐさ,n
もの悲しさ,n
もめ事,n
もやもや,n
もろさ,n
やくざ,n
やけ,n
やけくそ,n
やけっぱち,n
やけっ腹,n
やけど,n
やさしさ,p
やっつけ仕事,n
やぶ蛇,n
やりがい,p
やりきれなさ,n
やりたい放題,n
やり過ぎ,n
やるせなさ,n
やる気,p
やわらかさ,p
ゆがみ,n
ゆとり,p
よこしま,n
よさ,p
よそ事,n
よそ者,n
よどみ,n
らい,n
らしさ,p
ろくすっぽ,n
ろくろく,n
わいせつ行為,n
わかりやすさ,p
わがまま,n
わき役,n
わざ,p
わずらわしさ,n
わだかまり,n
わび,p
アイデア,p
アイディア,p
アイデンティティ,p
アイデンティティー,p
アウト,n
アオコ,n
アオリ,n
アカ,n
アクシデント,n
アクセス制御機能,p
アクティブ,p
アットホーム,p
アップグレード,p
アデノイド,n
アトピー,n
アトピー性皮膚炎,n
アナクロ,n
アバウト,n
アパルトヘイト,n
アピール,?p?n
アフガン戦争,n
アフターサービス,p
アブノーマル,n
アホ,n
アミューズメント,p
アルコール依存症,n
アルコール中毒,n
アルツハイマー,n
アルツハイマー病,n
アル中,n
アレルギー,n
アレルギー疾患,n
アレルギー性疾患,n
アレルギー性鼻炎,n
アレルギー体質,n
アレルゲン,n
アンティーク,p
アンバランス,n
アンフェア,n
イージーミス,n
イエローカード,n
イカサマ,n
イジメ,n
イタズラ,n
イビキ,n
イボ,n
イマイチ,n
イマジネーション,p
イメージアップ,p
イメージダウン,n
イヤ,n
イラク攻撃,n
イラク侵攻,n
イラク戦争,n
インスピレーション,p
インセンティブ,p
インチキ,n
インテリ,n
インテリジェンス,p
インパクト,p
インフォームド・コンセント,p
インフォームドコンセント,p
インフルエンザ,n
インフルエンザウイルス,n
インフレ,n
インポ,n
インポテンツ,n
ウィークポイント,n
ウィルス,n
ウィルスメール,n
ウイークポイント,n
ウイット,p
ウイルス,n
ウイルスメール,n
ウイルス感染,n
ウイルス病,n
ウソ,n
ウツ,n
ウデ,p
ウルトラＣ,p
ウワサ,n
エール,p
エイズ,n
エキスパート,p
エゴ,n
エゴイズム,n
エネルギー,p
エネルギー不足,n
エネルギッシュ,p
エマージェンシー,n
エラー,n
エラーメッセージ,n
エラーログ,n
エリート,p
エリート意識,n
エルボー,n
エレガンス,p
エレガント,p
エレガントさ,p
エンスト,n
オーバーフロー,n
オーラ,p
オールマイティー,p
オイルショック,n
オイル漏れ,n
オカルト,n
オシャレ,p
オリジナリティ,p
オリジナリティー,p
カウンターパンチ,n
カオス,n
カサカサ,n
カサブタ,n
カス,n
カゼ,n
カタルシス,p
カッコよさ,p
カッコ良さ,p
カビ,n
カユミ,n
カラフル,p
カリエス,n
カリスマ,p
カルシウム不足,n
カルチャーショック,n
カルマ,n
カンタン,p
カンニング,n
ガーゴイル,n
ガス漏れ,n
ガソリン代,n
ガッツ,p
ガン,n
ガン細胞,n
キズ,n
キツイ言葉,n
キャッシュバック,p
キャッチー,p
キャリア,p
キャンセル,n
キュート,p
キリ,?e
キレ,p
キレイ,p
ギックリ腰,n
ギブス,n
ギャグ,n
ギャラ,p
ギャング,n
クーデター,n
クール,p
クォリティー,p
クオリティ,p
クビ,n
クモ膜下出血,n
クラッシュ,n
クラミジア,n
クリーン,p
クリア,p
クリエイティビティ,p
クリエイティブ,p
クリスマスプレゼント,p
クロイツフェルト・ヤコブ病,n
グチ,n
グラマー,p
グランドスラム,p
ケアレスミス,n
ケガ,n
ケガレ,n
ケガ人,n
ケチ,n
ケンカ,n
ゲーム性,p
ゲット,p
ゲットー,n
ゲリラ,n
ゲロ,n
コースアウト,n
コイン,p
コク,p
コスト,n
コストアップ,n
コスト高,n
コスト面,n
コップの中のあらし,n
コツ,p
コマ落ち,n
コミニュケーション,p
コミュニケーション,p
コミュニケーションスキル,p
コミュニケーション能力,p
コミュニケーション力,p
コリ,n
コレステロール,n
コレラ,n
コンセプト,p
コンディション,p
コンパイルエラー,n
コンパクト,p
コンパクトさ,p
コンビニエンス,p
コンピューターウィルス,n
コンピュータウイルス,n
コンフリクト,n
コンプライアンス,p
コンプレックス,n
ゴキブリ,n
ゴジラ,n
ゴブリン,n
ゴミ,n
サーバーエラー,n
サーバーダウン,n
サーバダウン,n
サービス,p
サービス残業,n
サービス水準,p
サービス提供,p
サクセス,p
サスペンス,n
サディズム,n
サヨナラ勝ち,p
サラ金,n
シアワセ,p
シェイプアップ,p
シック,p
シックハウス,n
シックハウス症候群,n
シビア,n
シミ,n
シミソバカス,n
シャープ,p
シャープさ,p
ショック,n
シワ,n
シンナー,n
シンプルさ,p
ジェラシー,n
ジフテリア,n
ジャミング,n
ジレンマ,n
スイングアウト,n
スカ,n
スキ,n
スキャンダル,n
スキル,p
スキルアップ,p
スギ花粉症,n
スケール,p
スケール感,p
スコンク,n
スター,p
スター選手,p
スタイリッシュ,p
スタミナ,p
ステータス,p
ステータス異常,n
ステイタス,p
ステキ,p
ステレオタイプ,n
スト,n
ストーカー,n
ストーカー行為,n
ストーカー被害,n
ストイック,n
ストップ,n
ストレス,n
ストレス解消,p
ストレス発散,p
スパイ,n
スパイ容疑,n
スパムメール,n
スピーディー,p
スピード感,p
スペクタクル,p
スペシャリスト,p
スペシャル,p
スペック,p
スポーツマンシップ,p
スポーツ障害,n
スポーティー,p
スマート,p
スマートさ,p
スマイル,p
スムース,p
スムーズ,p
スモッグ,n
スラム,n
スラム街,n
スランプ,n
スリップ,n
スリップ事故,n
スリム,p
スリル,p
ズレ,n
セーフ,p
セーフティー,p
セールスポイント,p
セキュリティ,p
セキュリティー,p
セキュリティホール,n
セクシー,p
セクシーさ,p
セクシュアルハラスメント,n
セクハラ,n
セミプロ,p
セミプロフェッショナル,p
セルライト,n
センス,p
ゼロ敗,p
ソフト,p
ゾンビ,n
タイプミス,n
タイムラグ,n
タイムロス,n
タックル,n
タッチアウト,n
タフ,p
タフさ,p
タブー,n
タルミ,n
ダイオキシン,n
ダイナミズム,p
ダイナミック,p
