n,あがく
n,あきらめる
n,あきる
n,あきれる
n,あきれる た
n,あせる
n,あなどる
n,あやしむ
n,あやぶむ
n,あやまる
n,あらそ う
n,あわてる
n,いたたまれない
n,いたむ
n,いつわる
n,いらだたしい
n,いら立つ
n,うつうつ
n,うなだれる
n,うなる
n,うらむ
n,うんざり
n,おちいる
n,おぼれる
n,かさばる
n,かなう ない
n,かなしむ
n,がたつく
n,がっくり
n,くさる
n,くずれる
n,くたびれる
n,くやむ
n,くるしむ
n,けだるい
n,こじらせる
n,こそばゆい
n,こたえる られる ない
n,こぼす
n,こまる
n,こりる
n,こわさ れる
n,さじ を 投げる
n,しから れる
n,しくじる
n,しょぼくれる た
n,しょんぼり
n,しんみり
n,せんない
n,たおれる
n,ためらう
n,だま すれ る
n,だます
n,だれる
n,ちがう
n,つぶす
n,つぶれる
n,つまずく
n,つらい
n,とがめる
n,なやむ
n,ねじれる
n,のぼせる
n,はげる
n,はずかしい
n,ばつ が 悪い
n,ひきつる
n,ひっかかる
n,ひもじい
n,びびる
n,ふらつく
n,ぶつかる
n,ぶれる
n,ぼける
n,ぼける た
n,まごつく
n,むかっと
n,むかつく
n,むせる
n,むせ返る
n,めくら れる
n,もたつく
n,もだえる
n,もつれる
n,もてあます
n,やつれる
n,やむない
n,やむをえない
n,ゆがむ
n,ゆきづまる
n,よごす
n,よごれる
n,わすれる
n,ガックリ
n,ストレス が ある
n,ツライ
n,ビビる
n,ポシャる
n,阿鼻叫喚 だ
n,阿鼻叫喚 です
n,阿鼻叫喚 と
n,阿鼻叫喚 の
n,意気 消沈
n,引っ掛かる
n,引っ繰り返る
n,厭う
n,怨む
n,汚さ れる
n,汚す
n,汚れる
n,臆する
n,臆病 風 に 吹か れる
n,苛 だ つ
n,苛 つく
n,苛苛 する
n,苛立つ
n,我慢 し きれ ない
n,我慢 する
n,我慢 なら ない
n,餓える
n,壊さ れる
n,壊れる
n,怪しむ
n,悔しい
n,悔やむ
n,恰好 が つか ない
n,渇く
n,堪えがたい
n,堪える
n,堪え難い
n,堪忍袋 の 緒 が 切れる
n,干からびる
n,患い
n,患う
n,憾む
n,間違う
n,陥る
n,危ぶむ
n,忌み きらう
n,忌み嫌う
n,機嫌 を 損じる
n,機嫌 を 損ねる
n,気 が 緩む
n,気 が 気 で ない
n,気 が 滅入る
n,気 に 掛かる
n,気 に 障る
