日付け,終値,始値,高値,安値,出来高,変化率 %
2022/12/30,2183694 ,2214791 ,2214791 ,2183467 ,0.67K,-1.40%
2022/12/29,2214791 ,2218904 ,2224221 ,2201718 ,0.39K,-0.19%
2022/12/28,2218908 ,2231887 ,2247689 ,2215249 ,0.60K,-0.58%
2022/12/27,2231887 ,2247132 ,2253000 ,2216000 ,0.52K,-0.72%
2022/12/26,2248064 ,2239193 ,2249260 ,2232323 ,0.48K,0.40%
2022/12/25,2239193 ,2239307 ,2243147 ,2227340 ,0.51K,-0.01%
2022/12/24,2239307 ,2232669 ,2242953 ,2231767 ,0.34K,0.30%
2022/12/23,2232669 ,2227277 ,2247594 ,2222563 ,0.59K,0.24%
2022/12/22,2227277 ,2231173 ,2233432 ,2197578 ,0.83K,-0.17%
2022/12/21,2231173 ,2234548 ,2238687 ,2217372 ,0.76K,-0.15%
2022/12/20,2234548 ,2253070 ,2309685 ,2205579 ,2.44K,-0.82%
2022/12/19,2253070 ,2287667 ,2292720 ,2231834 ,0.97K,-1.51%
2022/12/18,2287667 ,2297103 ,2301712 ,2280383 ,0.62K,-0.41%
2022/12/17,2297103 ,2278357 ,2299277 ,2271222 ,0.51K,0.82%
2022/12/16,2278357 ,2393138 ,2406556 ,2264300 ,1.29K,-4.80%
2022/12/15,2393138 ,2411599 ,2426000 ,2382209 ,1.10K,-0.77%
2022/12/14,2411599 ,2412550 ,2479383 ,2393785 ,1.57K,-0.04%
2022/12/13,2412550 ,2365869 ,2444784 ,2353236 ,1.57K,1.97%
2022/12/12,2365869 ,2339354 ,2370341 ,2314172 ,1.17K,1.13%
2022/12/11,2339354 ,2341976 ,2357999 ,2335555 ,0.35K,-0.11%
2022/12/10,2341846 ,2340123 ,2354362 ,2338001 ,0.29K,0.07%
2022/12/9,2340123 ,2353209 ,2359000 ,2330240 ,0.72K,-0.56%
2022/12/8,2353209 ,2298160 ,2363000 ,2294266 ,0.86K,2.40%
2022/12/7,2298160 ,2339146 ,2346500 ,2292292 ,0.93K,-1.75%
2022/12/6,2339146 ,2318756 ,2342733 ,2313000 ,0.67K,0.88%
2022/12/5,2318756 ,2307133 ,2354274 ,2302381 ,1.99K,0.50%
2022/12/4,2307133 ,2275006 ,2314444 ,2273951 ,0.74K,1.41%
2022/12/3,2275003 ,2303630 ,2310000 ,2273200 ,0.52K,-1.24%
2022/12/2,2303630 ,2305906 ,2319561 ,2284998 ,1.04K,-0.10%
2022/12/1,2305821 ,2362402 ,2372282 ,2294231 ,1.30K,-2.40%
2022/11/30,2362402 ,2287500 ,2384000 ,2285813 ,1.26K,3.27%
