日付け,終値,始値,高値,安値,出来高,変化率 %
2021/1/1,3010800,2968795,3010800,2968795,7.05K,1.41%
2021/1/2,3317996,3010042,3317996,3010042,15.07K,10.20%
2021/1/3,3408276,3318029,3408276,3318029,14.37K,2.72%
2021/1/4,3292693,3410000,3410000,3292693,17.97K,-3.39%
2021/1/5,3470021,3292693,3470021,3175214,13.52K,5.39%
2021/1/6,3794965,3470021,3794965,3470021,14.84K,9.36%
2021/1/7,4101108,3794001,4101108,3794001,17.96K,8.07%
2021/1/8,4225304,4101108,4225304,4101108,17.43K,3.03%
2021/1/9,4186509,4225266,4225266,4186509,8.16K,-0.92%
2021/1/10,3979170,4186509,4255126,3979170,12.73K,-4.95%
2021/1/11,3694473,3975000,3975000,3694473,29.22K,-7.15%
2021/1/12,3530466,3691706,3691706,3530466,15.42K,-4.44%
2021/1/13,3882383,3528567,3882383,3528567,11.78K,9.97%
2021/1/14,4063030,3882383,4063030,3882383,11.74K,4.65%
2021/1/15,3818830,4063031,4063031,3818830,11.85K,-6.01%
2021/1/16,3742517,3820074,3820074,3742517,7.48K,-2.00%
2021/1/17,3718340,3742517,3742517,3718340,8.52K,-0.65%
2021/1/18,3800000,3717500,3800000,3717500,7.11K,2.20%
2021/1/19,3736570,3800000,3859700,3736570,7.49K,-1.67%
2021/1/20,3684869,3733460,3733460,3684869,8.23K,-1.38%
2021/1/21,3184433,3683531,3683531,3184433,13.59K,-13.58%
2021/1/22,3423812,3184429,3423812,3184429,12.67K,7.52%
2021/1/23,3332124,3423811,3423811,3332124,5.86K,-2.68%
2021/1/24,3350424,3332124,3350424,3332124,5.33K,0.55%
2021/1/25,3353886,3350424,3431966,3350424,8.66K,0.10%
2021/1/26,3363982,3352232,3363982,3352232,6.47K,0.30%
2021/1/27,3169444,3363982,3363982,3169444,7.50K,-5.78%
2021/1/28,3479050,3167896,3479050,3167896,7.72K,9.77%
2021/1/29,3576069,3480542,3944200,3480542,20.91K,2.79%
2021/1/30,3579626,3576069,3579626,3549000,6.81K,0.10%
2021/1/31,3456656,3579626,3579626,3456656,4.39K,-3.44%
2021/2/1,3486653,3456656,3486653,3456656,5.49K,0.87%
2021/2/2,3710745,3485976,3710745,3485976,6.52K,6.43%
2021/2/3,3933826,3712619,3933826,3712619,8.61K,6.01%
2021/2/4,3866243,3932798,3932798,3866243,9.88K,-1.72%
2021/2/5,4036257,4016030,4036257,4016030,5.83K,4.40%
2021/2/6,4131000,4036260,4131000,4036260,9.76K,2.35%
