日付け,終値,始値,高値,安値,出来高,変化率 %
2022/1/1,5495000 ,5325242 ,5515000 ,5323749 ,1.36K,3.19%
2022/1/2,5449625 ,5495000 ,5517582 ,5377728 ,1.24K,-0.83%
2022/1/3,5358524 ,5448625 ,5477676 ,5276666 ,1.75K,-1.67%
2022/1/4,5328098 ,5362273 ,5516632 ,5298668 ,2.07K,-0.57%
2022/1/5,5048182 ,5329012 ,5449500 ,4944443 ,3.32K,-5.25%
2022/1/6,4998900 ,5051360 ,5086549 ,4919125 ,3.18K,-0.98%
2022/1/7,4807016 ,5000000 ,5005364 ,4715529 ,4.09K,-3.84%
2022/1/8,4823412 ,4807016 ,4893068 ,4700832 ,2.61K,0.34%
2022/1/9,4844534 ,4823412 ,4947009 ,4772503 ,2.01K,0.44%
2022/1/10,4824475 ,4846257 ,4895204 ,4581736 ,3.77K,-0.41%
2022/1/11,4933686 ,4824475 ,4979997 ,4780000 ,2.74K,2.26%
2022/1/12,5044043 ,4933686 ,5083108 ,4901818 ,2.47K,2.24%
2022/1/13,4862046 ,5044043 ,5075850 ,4836495 ,2.54K,-3.61%
2022/1/14,4922738 ,4862078 ,4963844 ,4760000 ,2.68K,1.25%
2022/1/15,4926803 ,4922738 ,5003864 ,4871922 ,1.33K,0.08%
2022/1/16,4929153 ,4926803 ,4965994 ,4873732 ,1.48K,0.05%
2022/1/17,4839249 ,4929153 ,4940345 ,4770070 ,1.92K,-1.82%
2022/1/18,4853936 ,4839249 ,4889999 ,4736368 ,2.25K,0.30%
2022/1/19,4770212 ,4853936 ,4878174 ,4715000 ,2.46K,-1.72%
2022/1/20,4639894 ,4770212 ,4961991 ,4624283 ,2.83K,-2.73%
2022/1/21,4148838 ,4639435 ,4685214 ,4016025 ,6.69K,-10.58%
2022/1/22,3990005 ,4146125 ,4184518 ,3875000 ,5.83K,-3.83%
2022/1/23,4128789 ,3990005 ,4154068 ,3944354 ,3.80K,3.48%
2022/1/24,4185000 ,4128789 ,4278702 ,3758138 ,6.80K,1.36%
2022/1/25,4214180 ,4185000 ,4277999 ,4069012 ,4.25K,0.70%
2022/1/26,4229766 ,4214180 ,4406929 ,4161290 ,5.18K,0.37%
2022/1/27,4292436 ,4230229 ,4299288 ,4080000 ,3.76K,1.48%
2022/1/28,4346669 ,4292436 ,4378250 ,4184255 ,3.10K,1.26%
2022/1/29,4403373 ,4346669 ,4466526 ,4309444 ,1.90K,1.30%
2022/1/30,4374133 ,4403373 ,4425020 ,4314001 ,1.88K,-0.66%
2022/1/31,4432335 ,4372479 ,4461762 ,4235851 ,2.68K,1.33%
2022/2/1,4443671 ,4432335 ,4504419 ,4365074 ,2.96K,0.26%
2022/2/2,4223411 ,4443671 ,4462325 ,4189001 ,2.60K,-4.96%
2022/2/3,4291293 ,4225388 ,4292585 ,4167685 ,2.35K,1.61%
2022/2/4,4790000 ,4289048 ,4811247 ,4257000 ,3.55K,11.62%
2022/2/5,4773827 ,4791341 ,4830522 ,4720500 ,2.29K,-0.34%
2022/2/6,4887930 ,4773827 ,4920000 ,4745860 ,1.78K,2.39%
2022/2/7,5050001 ,4887930 ,5122480 ,4801240 ,3.98K,3.32%
2022/2/8,5095904 ,5048882 ,5257291 ,4935097 ,4.28K,0.91%
2022/2/9,5132628 ,5095904 ,5177720 ,4988350 ,2.96K,0.72%
2022/2/10,5054853 ,5132628 ,5310273 ,5028254 ,4.57K,-1.52%
2022/2/11,4891511 ,5055494 ,5092968 ,4845113 ,3.57K,-3.23%
2022/2/12,4879636 ,4891511 ,4966325 ,4823001 ,2.00K,-0.24%
2022/2/13,4867892 ,4879636 ,4945000 ,4842570 ,1.46K,-0.24%
2022/2/14,4919826 ,4867892 ,4954074 ,4805791 ,2.49K,1.07%
2022/2/15,5154017 ,4919826 ,5178444 ,4902943 ,2.38K,4.76%
2022/2/16,5066235 ,5157345 ,5158406 ,5004777 ,1.76K,-1.70%
2022/2/17,4657141 ,5066235 ,5100000 ,4608756 ,2.60K,-8.07%
2022/2/18,4606074 ,4657141 ,4725093 ,4543807 ,1.83K,-1.10%
2022/2/19,4617713 ,4606074 ,4663000 ,4570000 ,0.83K,0.25%
2022/2/20,4414087 ,4617713 ,4621001 ,4373391 ,1.58K,-4.41%
2022/2/21,4245285 ,4414546 ,4547808 ,4223135 ,3.12K,-3.82%
2022/2/22,4405370 ,4245285 ,4425185 ,4171818 ,2.75K,3.77%
2022/2/23,4283443 ,4405370 ,4518470 ,4264106 ,1.82K,-2.77%
2022/2/24,4432578 ,4283443 ,4580134 ,3941150 ,5.38K,3.48%
2022/2/25,4532137 ,4432578 ,4588196 ,4385161 ,2.81K,2.25%
2022/2/26,4523999 ,4532137 ,4650000 ,4463013 ,1.43K,-0.18%
2022/2/27,4357255 ,4523999 ,4601938 ,4275000 ,2.61K,-3.69%
2022/2/28,4971301 ,4357255 ,5067007 ,4332564 ,4.07K,14.09%
2022/3/1,5104356 ,4971301 ,5158220 ,4918253 ,3.37K,2.68%
2022/3/2,5075614 ,5104356 ,5219269 ,5000000 ,2.71K,-0.56%
2022/3/3,4906652 ,5074978 ,5100000 ,4831715 ,2.06K,-3.33%
2022/3/4,4504751 ,4906652 ,4911357 ,4435000 ,2.53K,-8.19%
2022/3/5,4531796 ,4504751 ,4556194 ,4440000 ,1.13K,0.60%
2022/3/6,4421060 ,4531796 ,4562769 ,4384000 ,1.86K,-2.44%
2022/3/7,4390272 ,4421060 ,4569246 ,4290357 ,2.75K,-0.70%
2022/3/8,4485235 ,4392079 ,4550001 ,4373694 ,2.18K,2.16%
2022/3/9,4862323 ,4485235 ,4928861 ,4479000 ,3.08K,8.41%
2022/3/10,4584098 ,4863463 ,4873698 ,4481014 ,2.80K,-5.72%
2022/3/11,4543814 ,4584098 ,4700598 ,4450000 ,2.37K,-0.88%
2022/3/12,4552679 ,4543814 ,4623568 ,4535001 ,0.81K,0.20%
2022/3/13,4446469 ,4555023 ,4610000 ,4421661 ,1.05K,-2.33%
2022/3/14,4688164 ,4446469 ,4719994 ,4416000 ,2.14K,5.44%
2022/3/15,4645941 ,4688164 ,4714327 ,4503000 ,1.92K,-0.90%
2022/3/16,4887411 ,4645941 ,4929998 ,4591663 ,3.95K,5.20%
2022/3/17,4850262 ,4887411 ,4920000 ,4806835 ,1.53K,-0.76%
2022/3/18,4975235 ,4850262 ,5041662 ,4780000 ,1.83K,2.58%
2022/3/19,5029838 ,4975235 ,5045000 ,4950000 ,1.13K,1.10%
2022/3/20,4924073 ,5026878 ,5038409 ,4876400 ,1.14K,-2.10%
2022/3/21,4905627 ,4924073 ,4950000 ,4831444 ,1.48K,-0.37%
2022/3/22,5135045 ,4905627 ,5202000 ,4899200 ,3.00K,4.68%
2022/3/23,5192533 ,5135045 ,5207372 ,5060001 ,1.85K,1.12%
2022/3/24,5382461 ,5191306 ,5405320 ,5169653 ,2.65K,3.66%
2022/3/25,5414668 ,5382461 ,5507472 ,5309358 ,2.48K,0.60%
2022/3/26,5436112 ,5414668 ,5464781 ,5385000 ,0.79K,0.40%
2022/3/27,5724823 ,5436112 ,5733050 ,5424507 ,1.72K,5.31%
2022/3/28,5821658 ,5724823 ,5955555 ,5699003 ,3.90K,1.69%
2022/3/29,5842088 ,5821658 ,5922444 ,5769686 ,2.14K,0.35%
2022/3/30,5738529 ,5842088 ,5842088 ,5698000 ,1.53K,-1.77%
2022/3/31,5540000 ,5738529 ,5782167 ,5506232 ,1.85K,-3.46%
2022/4/1,5674997 ,5540000 ,5746000 ,5423634 ,1.91K,2.44%
2022/4/2,5615109 ,5674997 ,5781293 ,5590844 ,1.32K,-1.06%
2022/4/3,5693890 ,5616241 ,5811863 ,5581001 ,1.22K,1.40%
2022/4/4,5720000 ,5693890 ,5751171 ,5543525 ,1.62K,0.46%
2022/4/5,5630025 ,5720000 ,5793994 ,5617821 ,1.48K,-1.57%
2022/4/6,5345255 ,5630025 ,5645000 ,5341000 ,1.88K,-5.06%
2022/4/7,5397922 ,5344362 ,5448055 ,5285365 ,1.24K,0.99%
2022/4/8,5257774 ,5397922 ,5468888 ,5240644 ,1.32K,-2.60%
2022/4/9,5319300 ,5257774 ,5324190 ,5240479 ,0.46K,1.17%
2022/4/10,5247739 ,5319300 ,5394978 ,5213512 ,0.73K,-1.35%
2022/4/11,4960897 ,5249003 ,5312217 ,4916697 ,2.20K,-5.47%
2022/4/12,5029088 ,4960897 ,5100232 ,4924044 ,1.70K,1.37%
2022/4/13,5159821 ,5029088 ,5203685 ,4976829 ,1.66K,2.60%
2022/4/14,5043000 ,5159821 ,5197800 ,4991088 ,1.11K,-2.26%
2022/4/15,5133258 ,5043000 ,5172665 ,5020290 ,0.89K,1.79%
2022/4/16,5111569 ,5133258 ,5148170 ,5063596 ,0.39K,-0.42%
2022/4/17,5027866 ,5111569 ,5135000 ,5008292 ,0.65K,-1.64%
2022/4/18,5185662 ,5027866 ,5209580 ,4884505 ,2.10K,3.14%
2022/4/19,5365371 ,5185662 ,5371000 ,5183000 ,1.61K,3.47%
2022/4/20,5297305 ,5365371 ,5405000 ,5225490 ,1.93K,-1.27%
2022/4/21,5203080 ,5297305 ,5507615 ,5116000 ,2.66K,-1.78%
2022/4/22,5110008 ,5203080 ,5225038 ,5044804 ,1.74K,-1.79%
2022/4/23,5072742 ,5110008 ,5137934 ,5057098 ,0.57K,-0.73%
2022/4/24,5075600 ,5072742 ,5130891 ,5012007 ,0.83K,0.06%
2022/4/25,5166670 ,5075600 ,5193113 ,4900000 ,2.79K,1.79%
